id;jahr;digi_klasse;soll;digi_soll_eng;digi_soll_weit;ist;digi_ist_eng;digi_ist_weit;titel_text;_1_infra;_2_dig_wirtschaft;_3_dig_verwaltung;_4_dig_kompetenzen;_5_dig_kultur;_6_forschung_inno;_7_gesundheitswesen;_8_bundeswehr;_9_unteilbare_ausg;any_tag;expert_tag;large_soll_tag;ml_tag;digital_series_tag;texan_tag;einzelplan;kapitel;gruppe;funktion;einzelplan-text;kapitel-text;gruppe-text;hauptgruppe-text;obergruppe-text;funktion-text;hauptfunktion-text;oberfunktion-text;digi_klasse-text;kategorie;keywords;n_keywords
121453202719;2019;3;1100.0;243.0;243.0;1645.78659;363.5692194272727;363.5692194272727;Bundesanstalt für Straßenwesen  Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT) Erläuterungen: Bezeichnung 1 000 € 1. Unterhaltung der Laboratorien und Versuchsanlagen einschl. der Beschaffung von Versuchs-, Betriebs- und sonstigen Verbrauchsstoffen.............................................................................................. 520 2. Beschaffung von Versuchsfahrzeugen, Errichtung der Prüfmuster, Unterhaltung der Mess- und Filmeinrichtungen zur Durchführung der Anfahrversuche an passiven Schutzeinrichtungen einschließlich Bergung der Versuchsfahrzeuge.............................................. 250 3. Kosten für die Durchführung biomechanischer Untersuchungen, Wartung und Instandsetzung der Versuchsanlage, Reparatur von Versuchskörpern, Verbrauchsmaterial............................................ 87 4. Wartung, Instandsetzung und Kalibrierung der Messsysteme zur Erfassung der [Zustandsdaten] einschließlich Vergleichsuntersuchungen........................................................................................... 243 Zusammen............................................................................................ 1 100;;;1;;;;;;;1;;;;;1;12;1214;532;719;Bundesministerium für Verkehr;Bundesanstalt für Straßen- und Verkehrswesen;Sonstige sächliche Verwaltungsausgaben Alle übrigen sächlichen Verwaltungsausgaben, die nach ihrer Z;Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst Zur ;Sächliche Verwaltungsausgaben;Sonstige Verkehrs- und Nachrichtenverwaltung Bundesamt für Güterverkehr Bundesanstalt für Straßenwes;Verkehrs- und Nachrichtenwesen;Verwaltung des Verkehrs- und Nachrichtenwesens Personal- und sächliche Verwaltungsausgaben der Behör;Anteilig digital - manuelle Berechnung aus Erläuterung;Digitalisierung der öffentlichen Verwaltung;Zustandsdaten;1
121453202719;2021;3;1100.0;313.0;313.0;1052.90447;299.5991810090909;299.5991810090909;Bundesanstalt für Straßenwesen  Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT) Erläuterungen: Bezeichnung 1 000 € 1. Unterhaltung der Laboratorien und Versuchsanlagen einschl. der Beschaffung von Versuchs-, Betriebs- und sonstigen Verbrauchsstoffen.............................................................................................. 450 2. Beschaffung von Versuchsfahrzeugen, Errichtung der Prüfmuster, Unterhaltung der Mess- und Filmeinrichtungen zur Durchführung der Anfahrversuche an passiven Schutzeinrichtungen einschließlich Bergung der Versuchsfahrzeuge.............................................. 250 3. Kosten für die Durchführung biomechanischer Untersuchungen, Wartung und Instandsetzung der Versuchsanlage, Reparatur von Versuchskörpern, Verbrauchsmaterial............................................ 87 4. Wartung, Instandsetzung und Kalibrierung der Messsysteme zur Erfassung der [Zustandsdaten] einschließlich Vergleichsuntersuchungen........................................................................................... 313 Zusammen............................................................................................ 1 100;;;1;;;;;;;1;;;;;1;12;1214;532;719;Bundesministerium für Verkehr;Bundesanstalt für Straßen- und Verkehrswesen;Sonstige sächliche Verwaltungsausgaben Alle übrigen sächlichen Verwaltungsausgaben, die nach ihrer Z;Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst Zur ;Sächliche Verwaltungsausgaben;Sonstige Verkehrs- und Nachrichtenverwaltung Bundesamt für Güterverkehr Bundesanstalt für Straßenwes;Verkehrs- und Nachrichtenwesen;Verwaltung des Verkehrs- und Nachrichtenwesens Personal- und sächliche Verwaltungsausgaben der Behör;Anteilig digital - manuelle Berechnung aus Erläuterung;Digitalisierung der öffentlichen Verwaltung;Zustandsdaten;1
300363205139;2021;7;1883570.0;23544.625;94178.5;1872986.0044;23412.325055;93649.30022;Wettbewerbsfähigkeit des Wissenschafts- und Innovationssystems  [Zukunftsvertrag Studium und Lehre] stärken Haushaltsvermerk: 1. Die zur Ausfinanzierung des [HSP] zu überweisenden Mittel sind in Höhe von 15 Prozent pro Jahr gesperrt. Die Aufhebung der Sperre bedarf der Einwilligung des Haushaltsausschusses des Deutschen Bundestages. Zur Aufhebung der Sperre müssen die jeweiligen Länder nachweisen, dass die jeweilige Höhe ihrer nicht verausgabten {HSP}- Mittel eine durchschnittliche Jahresrate der Bundesmittel (2016-2020) nicht übersteigt (gilt bis zum Jahr 2022) oder, dass sie die jeweilige Summe der nicht verausgabten {HSP}-Mittel (Stand 2019) für das Jahr 2020 um 25 Prozent reduziert haben. In den Folgejahren ab 2021 ist der zu reduzierende Prozentsatz 50 Prozent (2021), 75 Prozent (2022) und 100 Prozent (2023). 2. Die Ausgaben sind übertragbar. 3. Rückzahlungen fließen den Ausgaben zu. Erläuterungen: Die Regierungschefs von Bund und Ländern haben am 6. Juni 2019 auf der Grundlage von Art. 91b Absatz 1 des Grundgesetzes den {Zukunftsvertrag Studium und Lehre} stärken“ geschlossen (BAnz. AT 04.09.2019 B3). Ziele des Zukunftsvertrags sind eine flächendeckend hohe Qualität von Studium und Lehre, gute Studienbedingungen in der Breite der deutschen Hochschullandschaft sowie der bedarfsgerechte Erhalt der Studienkapazitäten in Deutschland, um langfristig ausreichend akademische Fachkräfte für Wissenschaft, Wirtschaft und Gesellschaft auszubilden. In den Jahren 2021 bis 2023 werden die Bundesmittel für die Ausfinanzierungsphase gemäß der Verwaltungsvereinbarung zwischen Bund und Ländern gemäß Artikel 91b Absatz 1 des Grundgesetzes über den {Hochschulpakt} 2020 vom 11. Dezember 2014 auf die Mittel des Zukunftsvertrages angerechnet.;;;;1;;;;;;1;;1;1;;1;30;3003;632;139;Bundesministerium für Forschung, Technologie und Raumfahrt;Wettbewerbsfähigkeit des Wissenschafts- und Innovationssystems;Sonstige Zuweisungen an Länder Zuweisungen des Bundes • zur allgemeinen Förderung der Wissenschaft u;Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen Siehe Erläuterungen zu Hauptgr;Sonstige (zweckgebundene) Zuweisungen an öffentlichen Bereich Zur Abgrenzung des „öffentlichen Berei;Sonstige Hochschulaufgaben Studienberatung Zuschüsse an Hochschul- Informations- System (HIS) Hochsc;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;Hochschulen;Manuelle Recherche (teilweise Schätzwerte);Digitalisierung im Bereich Kultur / Medien / Zivilgesellschaft;Zukunftsvertrag Studium und Lehre|HSP|Hochschulpakt;3
300363205139;2023;7;1940077.0;24250.9625;97003.85;1936400.0;24205.0;96820.0;Wettbewerbsfähigkeit des Wissenschafts- und Innovationssystems  [Zukunftsvertrag Studium und Lehre] stärken Haushaltsvermerk: 1. Die zur Ausfinanzierung des [HSP] zu überweisenden Mittel sind in Höhe von 15 Prozent pro Jahr gesperrt. Die Aufhebung der Sperre bedarf der Einwilligung des Haushaltsausschusses des Deutschen Bundestages. Zur Aufhebung der Sperre müssen die jeweiligen Länder nachweisen, dass die jeweilige Höhe ihrer nicht verausgabten {HSP}-Mittel eine durchschnittliche Jahresrate der Bundesmittel (2016-2020) nicht übersteigt (gilt bis zum Jahr 2022) oder, dass sie die jeweilige Summe der nicht verausgabten {HSP}-Mittel (Stand 2019) für das Jahr 2020 um 25 Prozent reduziert haben. In den Folgejahren ab 2021 ist der zu reduzierende Prozentsatz 50 Prozent (2021), 75 Prozent (2022) und 100 Prozent (2023). 2. Die Ausgaben sind übertragbar. 3. Rückzahlungen fließen den Ausgaben zu. Erläuterungen: Die Regierungschefs von Bund und Ländern haben am 6. Juni 2019 auf der Grundlage von Art. 91b Absatz 1 des Grundgesetzes den {Zukunftsvertrag Studium und Lehre} stärken“ geschlossen (BAnz. AT 04.09.2019 B3). Ziele des Zukunftsvertrags sind eine flächendeckend hohe Qualität von Studium und Lehre, gute Studienbedingungen in der Breite der deutschen Hochschullandschaft sowie der bedarfsgerechte Erhalt der Studienkapazitäten in Deutschland, um langfristig ausreichend akademische Fachkräfte für Wissenschaft, Wirtschaft und Gesellschaft auszubilden. In den Jahren 2021 bis 2023 werden die Bundesmittel für die Ausfinanzierungsphase gemäß der Verwaltungsvereinbarung zwischen Bund und Ländern gemäß Artikel 91b Absatz 1 des Grundgesetzes über den {Hochschulpakt} 2020 vom 11. Dezember 2014 auf die Mittel des Zukunftsvertrages angerechnet.;;;;1;;;;;;1;;1;1;;1;30;3003;632;139;Bundesministerium für Forschung, Technologie und Raumfahrt;Wettbewerbsfähigkeit des Wissenschafts- und Innovationssystems;Sonstige Zuweisungen an Länder Zuweisungen des Bundes • zur allgemeinen Förderung der Wissenschaft u;Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen Siehe Erläuterungen zu Hauptgr;Sonstige (zweckgebundene) Zuweisungen an öffentlichen Bereich Zur Abgrenzung des „öffentlichen Berei;Sonstige Hochschulaufgaben Studienberatung Zuschüsse an Hochschul- Informations- System (HIS) Hochsc;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;Hochschulen;Manuelle Recherche (teilweise Schätzwerte);Digitalisierung im Bereich Kultur / Medien / Zivilgesellschaft;Zukunftsvertrag Studium und Lehre|HSP|Hochschulpakt;3
300363205139;2024;7;2050000.0;25625.0;102500.0;2049469.55839;25618.369479875;102473.4779195;Wettbewerbsfähigkeit des Wissenschafts- und Innovationssystems  [Zukunftsvertrag Studium und Lehre] stärken Haushaltsvermerk: 1. Die Ausgaben sind übertragbar. 2. Rückzahlungen fließen den Ausgaben zu. Erläuterungen: Die Regierungschefs von Bund und Ländern haben am 6. Juni 2019 auf der Grundlage von Art. 91b Absatz 1 des Grundgesetzes den {Zukunftsvertrag Studium und Lehre} stärken“ geschlossen (BAnz. AT 04.09.2019 B3). Ziele des Zukunftsvertrags sind eine flächendeckend hohe Qualität von Studium und Lehre, gute Studienbedingungen in der Breite der deutschen Hochschullandschaft sowie der bedarfsgerechte Erhalt der Studienkapazitäten in Deutschland, um langfristig ausreichend akademische Fachkräfte für Wissenschaft, Wirtschaft und Gesellschaft auszubilden.;;;;1;;;;;;1;;1;1;;1;30;3003;632;139;Bundesministerium für Forschung, Technologie und Raumfahrt;Wettbewerbsfähigkeit des Wissenschafts- und Innovationssystems;Sonstige Zuweisungen an Länder Zuweisungen des Bundes • zur allgemeinen Förderung der Wissenschaft u;Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen Siehe Erläuterungen zu Hauptgr;Sonstige (zweckgebundene) Zuweisungen an öffentlichen Bereich Zur Abgrenzung des „öffentlichen Berei;Sonstige Hochschulaufgaben Studienberatung Zuschüsse an Hochschul- Informations- System (HIS) Hochsc;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;Hochschulen;Manuelle Recherche (teilweise Schätzwerte);Digitalisierung im Bereich Kultur / Medien / Zivilgesellschaft;Zukunftsvertrag Studium und Lehre;1
300363205139;2025;7;2080770.0;26009.625;104038.5;;;;Wettbewerbsfähigkeit des Wissenschafts- und Innovationssystems  [Zukunftsvertrag Studium und Lehre] stärken Haushaltsvermerk: 1. Die Ausgaben sind übertragbar. 2. Rückzahlungen fließen den Ausgaben zu. Erläuterungen: Rechtsgrundlage: Bund-Länder-Vereinbarung auf der Grundlage von Art. 91b Abs. 1 GG über den {Zukunftsvertrag Studium und Lehre} stärken (BAnz. AT 10.02.2023 B6). Ziele des Zukunftsvertrags sind eine flächendeckend hohe Qualität von Studium und Lehre, gute Studienbedingungen in der Breite der deutschen Hochschullandschaft sowie der bedarfsgerechte Erhalt der Studienkapazitäten in Deutschland, um langfristig ausreichend akademische Fachkräfte für Wissenschaft, Wirtschaft und Gesellschaft auszubilden.;;;;1;;;;;;1;;1;1;1;1;30;3003;632;139;Bundesministerium für Forschung, Technologie und Raumfahrt;Wettbewerbsfähigkeit des Wissenschafts- und Innovationssystems;Sonstige Zuweisungen an Länder Zuweisungen des Bundes • zur allgemeinen Förderung der Wissenschaft u;Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen Siehe Erläuterungen zu Hauptgr;Sonstige (zweckgebundene) Zuweisungen an öffentlichen Bereich Zur Abgrenzung des „öffentlichen Berei;Sonstige Hochschulaufgaben Studienberatung Zuschüsse an Hochschul- Informations- System (HIS) Hochsc;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;Hochschulen;Manuelle Recherche (teilweise Schätzwerte);Digitalisierung im Bereich Kultur / Medien / Zivilgesellschaft;Zukunftsvertrag Studium und Lehre;1
300468543165;2023;0;43168.0;;;43379.56005;;;Forschung für Innovationen, [Zukunftsstrategie] Nachhaltigkeit, Klima, Energie Gesellschaftswissenschaften für Nachhaltigkeit Verpflichtungsermächtigung....................................................... 13 100 T€ davon fällig: im Haushaltsjahr 2024 bis zu................................................. 2 700 T€ im Haushaltsjahr 2025 bis zu................................................. 4 300 T€ im Haushaltsjahr 2026 bis zu................................................. 3 100 T€ im Haushaltsjahr 2027 bis zu................................................. 2 000 T€ im Haushaltsjahr 2028 bis zu................................................. 1 000 T€ Haushaltsvermerk: Die Ausgaben sind übertragbar. Erläuterungen: Bezeichnung 1 000 € 1. Sozial-ökologische Forschung für Nachhaltigkeit............................ 11 106 2. Verbreitungsstrategien und Weiterentwicklung von Nachhaltigkeitsstrategien................................................................................. 4 000 3. Internationale Maßnahmen............................................................. 2 600 4. Deutsch-französisches Zukunftswerk.............................................. 4 000 5. Themenübergreifende Ansätze in der Nachhaltigkeit..................... 4 762 6. Systemische Ansätze für eine nachhaltige urban{e Mobilität}........... 16 700 Zusammen............................................................................................ 43 168 Zu 1.: Förderung von transdisziplinärer FuE zu Nachhaltigkeitsthemen, insbesondere sozialökologischer Aspekte der Förderschwerpunkte {Zukunftsstadt} und Green Economy. Zu 2: Vorhaben zur Verbreitung des Nachhaltigkeitsprinzips in Gesellschaft, Wirtschaft und Politik, Dialog zur Strategieentwicklung mit Wirtschaft, Wissenschaft und Zivilgesellschaft. Zu 3: Unterstützung verschiedener internationaler Initiativen mit Bezug zu Forschung für nachhaltige Entwicklung, z. B. JPI urban Europe, Green Talents, Sustainable Urbanization Global Initiative, Transformations to Sustainability. Zu 4.: Das deutsch-französische Zukunftswerk aus Art. 22 des Vertrags von Aachen beschäftigt sich mit Transformationsprozessen in beiden Ländern. Zu 5.: Förderung von FuE zu übergreifenden systemischen Aspekten der Nachhaltigkeit, Erschließung und Nutzung neuer Technologien in {Reallabor}en mit systemischem Ansatz (u. a. Zukunftsstädte und Metropolregionen) sowie Förderung der Nachhaltigkeit in der Wissenschaft. Zu 6.: Förderung von FuE zur systemischen Betrachtung von Mobilität und Nachhaltigkeit. Kopplung zur Fragestellung aus den Förderschwerpunkten {Zukunftsstadt} und Green Economy. Erschließung und Nutzung neuer Technologien sowie Entwicklung praxisnaher Lösungsansätze für eine nachhaltige Transformation der urbanen Mobilität. Aus dem Ansatz können folgende Ausgaben für die Durchführung von Maßnahmen geleistet werden: Bezeichnung 1 000 € Projektträgerleistungen......................................................................... 5 186 Programmmanagement........................................................................ 1 032 davon Fachinformationen................................................................................ 1 012 Weniger wegen Anpassung an Bedarf.;;;;;;;;;;1;1;;1;;1;30;3004;685;165;Bundesministerium für Forschung, Technologie und Raumfahrt;Forschung für Innovationen, Zukunftsstrategie;Zuschüsse für laufende Zwecke an öffentliche Einrichtungen Zur Abgrenzung der „öffentlichen Einricht;Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen Siehe Erläuterungen zu Hauptgr;Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche;Forschung und experimentelle Entwicklung Einrichtung, Unterhaltung und Betrieb von eigenen Einrichtu;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnisch;Nicht digital;;Zukunftsstrategie|Zukunftsstadt;4
300468324165;2023;7;122390.0;12239.0;12239.0;153728.55833;15372.855833;15372.855833;Forschung für Innovationen, [Zukunftsstrategie] Innovation durch neue Technologien Forschung für Produktion, Dienstleistung und Arbeit Verpflichtungsermächtigung....................................................... 91 300 T€ davon fällig: im Haushaltsjahr 2024 bis zu............................................... 20 300 T€ im Haushaltsjahr 2025 bis zu............................................... 22 600 T€ im Haushaltsjahr 2026 bis zu............................................... 24 200 T€ im Haushaltsjahr 2027 bis zu............................................... 24 200 T€ Haushaltsvermerk: Mehrausgaben zu Nr. 5 der Erläuterungen dürfen bis zur Höhe der zweckgebundenen Mehreinnahmen bei folgendem Titel geleistet werden: Kap. 1106 Tit. 272 02. Dies gilt auch für zu erwartende Einnahmen aus bestehenden Ansprüchen. Falls Ausgaben aufgrund zu erwartender Einnahmen geleistet wurden und diese Einnahmen im laufenden Haushaltsjahr nicht eingehen, dürfen diese Einnahmen, soweit sie in den folgenden Haushaltsjahren eingehen, nicht mehr zur Leistung von Ausgaben verwendet werden. Erläuterungen: Bezeichnung 1 000 € 1. Produktionssysteme und -verfahren................................................ 52 890 2. Forschung für Arbeit........................................................................ 32 700 3. Forschung für Dienstleistung........................................................... 20 800 4. Bereichsübergreifende Forschung.................................................. 16 000 5. Mittel des Europäischen Sozialfonds (ESF) für Fachprogramme des BMBF: Zukunft der Arbeit......................................................... - Zusammen............................................................................................ 122 390 Im Soll 2023 sind 11 350 T€ aus dem {Zukunftsfonds} Automobilindustrie enthalten. Zu 1.: Die Förderung zielt insbesondere darauf ab, Forschung und Entwicklung auf dem Gebiet der industriellen Produktion zu stärken, einschl. {Industrie 4.0}, der Förderung einer ressourceneffizienten Produktion und neuer Fertigungstechnologien für kleine und mittlere Unternehmen (KMU). Zu 2.: Die Förderung hat zum Ziel, neue Konzepte und Werkzeuge der Arbeitsgestaltung und -organisation in und mit der Praxis zu entwickeln und die Ergebnisse aus der Forschung über pilothafte Umsetzungen breit in die betriebliche Praxis zu überführen. Zu 3.: Die Dienstleistungsforschung orientiert sich an den großen Zukunftsmärkten und hat Dienstleistungsinnovationen im Zentrum der wichtigsten gesellschaftlichen Anwendungsfelder zum Ziel. Zu 4.: Gefördert werden Projekte, die Zielsetzungen oder Aspekte aus 1. - 3. integriert bearbeiten. Aus dem Ansatz können folgende Ausgaben für die Durchführung von Maßnahmen geleistet werden: Bezeichnung 1 000 € Projektträgerleistungen......................................................................... 14 256 Programmmanagement........................................................................ 820 davon Fachinformationen................................................................................ 470;;;;;;1;;;;1;1;1;1;;1;30;3004;683;165;Bundesministerium für Forschung, Technologie und Raumfahrt;Forschung für Innovationen, Zukunftsstrategie;Zuschüsse für laufende Zwecke an private Unternehmen, soweit nicht Gruppe 662 Siehe Erläuterungen zu;Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen Siehe Erläuterungen zu Hauptgr;Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche;Forschung und experimentelle Entwicklung Einrichtung, Unterhaltung und Betrieb von eigenen Einrichtu;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnisch;Manuelle Recherche (teilweise Schätzwerte);Förderung von Forschung und Innovation;Zukunftsstrategie|Zukunftsfonds|Industrie 4.0;3
300468324165;2024;7;123500.0;3087.5;12350.0;134494.55714;3362.3639285;13449.455714;Forschung für Innovationen, [Zukunftsstrategie] Innovation durch neue Technologien Forschung für Produktion, Dienstleistung und Arbeit Verpflichtungsermächtigung....................................................... 98 800 T€ davon fällig: im Haushaltsjahr 2025 bis zu............................................... 26 200 T€ im Haushaltsjahr 2026 bis zu............................................... 24 200 T€ im Haushaltsjahr 2027 bis zu............................................... 24 200 T€ im Haushaltsjahr 2028 bis zu............................................... 24 200 T€ Haushaltsvermerk: Mehrausgaben zu Nr. 5 der Erläuterungen dürfen bis zur Höhe der zweckgebundenen Mehreinnahmen bei folgendem Titel geleistet werden: Kap. 1106 Tit. 272 02. Dies gilt auch für zu erwartende Einnahmen aus bestehenden Ansprüchen. Falls Ausgaben aufgrund zu erwartender Einnahmen geleistet wurden und diese Einnahmen im laufenden Haushaltsjahr nicht eingehen, dürfen diese Einnahmen, soweit sie in den folgenden Haushaltsjahren eingehen, nicht mehr zur Leistung von Ausgaben verwendet werden. Erläuterungen: Bezeichnung 1 000 € 1. Produktionssysteme und -verfahren................................................ 54 000 2. Forschung für Arbeit........................................................................ 32 700 3. Forschung für Dienstleistung........................................................... 20 800 4. Bereichsübergreifende Forschung.................................................. 16 000 5. Mittel des Europäischen Sozialfonds (ESF) für Fachprogramme des BMBF: Zukunft der Arbeit......................................................... - Zusammen............................................................................................ 123 500 Im Soll 2024 sind 10 750 T€ aus dem {Zukunftsfonds} Automobilindustrie enthalten. Zu 1.: Die Förderung zielt insbesondere darauf ab, Forschung und Entwicklung auf dem Gebiet der industriellen Produktion zu stärken, einschl. {Industrie 4.0}, der Förderung einer ressourceneffizienten Produktion und neuer Fertigungstechnologien für kleine und mittlere Unternehmen (KMU). Zu 2.: Die Förderung hat zum Ziel, neue Konzepte und Werkzeuge der Arbeitsgestaltung und -organisation in und mit der Praxis zu entwickeln und die Ergebnisse aus der Forschung über pilothafte Umsetzungen breit in die betriebliche Praxis zu überführen. Zu 3.: Die Dienstleistungsforschung orientiert sich an den großen Zukunftsmärkten und hat Dienstleistungsinnovationen im Zentrum der wichtigsten gesellschaftlichen Anwendungsfelder zum Ziel. Zu 4.: Gefördert werden Projekte, die Zielsetzungen oder Aspekte aus 1. - 3. integriert bearbeiten. Aus dem Ansatz können folgende Ausgaben für die Durchführung von Maßnahmen geleistet werden: Bezeichnung 1 000 € Projektträgerleistungen......................................................................... - Programmmanagement........................................................................ 1 028 davon Fachinformationen................................................................................ 490;;;;;;1;;;;1;1;1;1;;1;30;3004;683;165;Bundesministerium für Forschung, Technologie und Raumfahrt;Forschung für Innovationen, Zukunftsstrategie;Zuschüsse für laufende Zwecke an private Unternehmen, soweit nicht Gruppe 662 Siehe Erläuterungen zu;Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen Siehe Erläuterungen zu Hauptgr;Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche;Forschung und experimentelle Entwicklung Einrichtung, Unterhaltung und Betrieb von eigenen Einrichtu;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnisch;Manuelle Recherche (teilweise Schätzwerte);Förderung von Forschung und Innovation;Zukunftsstrategie|Zukunftsfonds|Industrie 4.0;3
300468326165;2023;7;114550.0;0.0;10277.0;117916.85312;0.0;10579.06154093619;Forschung für Innovationen, [Zukunftsstrategie] Innovation durch neue Technologien Neue Materialien Verpflichtungsermächtigung..................................................... 151 900 T€ davon fällig: im Haushaltsjahr 2024 bis zu............................................... 19 000 T€ im Haushaltsjahr 2025 bis zu............................................... 25 800 T€ im Haushaltsjahr 2026 bis zu............................................... 26 800 T€ im Haushaltsjahr 2027 bis zu............................................... 26 700 T€ im Haushaltsjahr 2028 bis zu............................................... 26 800 T€ im Haushaltsjahr 2029 bis zu............................................... 26 800 T€ Haushaltsvermerk: 1. Die Ausgaben sind mit folgenden Titeln gegenseitig deckungsfähig: 683 20, 683 21 und 683 25. 2. Erstattungen der EU für die Entwicklung des Europäischen Forschungsraums (EFR) durch Koordinierung nationaler FuE-Aktivitäten fließen den Ausgaben zu. Erläuterungen: Bezeichnung 1 000 € 1. Werkstoffinnovationen..................................................................... 52 821 2. Umsetzung des Dachkonzeptes Forschungsfabrik Batterie (insb. Forschungsfertigung Batteriezelle).................................................. 61 300 3. Innovationsunterstützende Maßnahmen......................................... 429 Zusammen............................................................................................ 114 550 Im Soll 2023 sind 2 350 T€ aus dem {Zukunftsfonds} Automobilindustrie enthalten. Die Förderung von Forschungsvorhaben ist darauf gerichtet, durch die Erforschung neuer Materialien sowie neuer Batteriekonzepte entscheidende Voraussetzungen für die Entwicklung wettbewerbsfähiger Produkte in wichtigen Industriezweigen sowie zentralen gesellschaftlichen Bereichen zu schaffen. Im Fokus stehen dabei die Anwendungsfelder Umwelt, Gesundheit, Energiespeicherzellen für die mobile und stationäre Anwendung einschließlich Forschungsfertigung Batteriezelle und Maßnahmen zur Transformation der Automobilindustrie in Richtung Elektromobilität, Sicherheitsforschung zu Materialinnovationen, die Förderung des wissenschaftlichen Nachwuchses sowie von kleinen und mittleren Unternehmen. Die Förderung adressiert die Entwicklung von innovativen Materialien, die nicht nur über maßgeschneiderte Eigenschaften verfügen, sondern auch nachhaltig sicher und umweltverträglich sind. Daher wird die Erforschung neuer Materialien mit dem Ziel der Ressourcenschonung und besseren Rezyklierbarkeit in einer kreislauforientierten Wirtschaft vorangetrieben. Die {{digital}isiert}e Materialforschung (Material{Digital}) und die Nutzung biologischer Prinzipien für die Entwicklung neuer Werkstoffe (bioinspirierte Materialforschung) tragen zu einer grundlegenden Neuausrichtung der Materialforschung bei. Materialinnovationen leisten einen wesentlichen Beitrag zum {{{digital}e}n} und grünen Wandel von Wirtschaft und Gesellschaft, sind die Basis für viele {Schlüsseltechnologie}n und tragen somit zur {technologischen Souveränität} Deutschlands bei. Gefördert werden innerhalb dieser Zielsetzung auch Vorhaben der internationalen Zusammenarbeit. Aus dem Ansatz können folgende Ausgaben für die Durchführung von Maßnahmen geleistet werden: Bezeichnung 1 000 € Projektträgerleistungen......................................................................... 7 140 Programmmanagement........................................................................ 429 davon Fachinformationen................................................................................ 368 Weniger wegen Anpassung an Bedarf.;;;;;;1;;;;1;1;1;1;;1;30;3004;683;165;Bundesministerium für Forschung, Technologie und Raumfahrt;Forschung für Innovationen, Zukunftsstrategie;Zuschüsse für laufende Zwecke an private Unternehmen, soweit nicht Gruppe 662 Siehe Erläuterungen zu;Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen Siehe Erläuterungen zu Hauptgr;Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche;Forschung und experimentelle Entwicklung Einrichtung, Unterhaltung und Betrieb von eigenen Einrichtu;Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten;Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnisch;Manuelle Recherche (teilweise Schätzwerte);Förderung von Forschung und Innovation;Zukunftsstrategie|Zukunftsfonds|Digitalisiert|Digitale|technologischen Souveränität;7
