einzelplan,einzelplan_text,einzelplan_uri,wikidata_qid,wikidata_uri,wikidata_label,hinweis
1,Bundespräsident und Bundespräsidialamt,http://example.org/digitalhaushalt/einzelplan/1,Q470470,http://www.wikidata.org/entity/Q470470,Bundespräsidialamt,
2,Deutscher Bundestag,http://example.org/digitalhaushalt/einzelplan/2,Q154797,http://www.wikidata.org/entity/Q154797,Deutscher Bundestag,
3,Bundesrat,http://example.org/digitalhaushalt/einzelplan/3,Q146138,http://www.wikidata.org/entity/Q146138,Bundesrat,
4,Bundeskanzler und Bundeskanzleramt,http://example.org/digitalhaushalt/einzelplan/4,Q317027,http://www.wikidata.org/entity/Q317027,Bundeskanzleramt,
5,Auswärtiges Amt,http://example.org/digitalhaushalt/einzelplan/5,Q56034,http://www.wikidata.org/entity/Q56034,Auswärtiges Amt,
6,Bundesministerium des Innern,http://example.org/digitalhaushalt/einzelplan/6,Q502698,http://www.wikidata.org/entity/Q502698,Bundesministerium des Innern,
7,Bundesministerium der Justiz und für Verbraucherschutz,http://example.org/digitalhaushalt/einzelplan/7,Q498251,http://www.wikidata.org/entity/Q498251,Bundesministerium der Justiz und für Verbraucherschutz,
8,Bundesministerium der Finanzen,http://example.org/digitalhaushalt/einzelplan/8,Q499118,http://www.wikidata.org/entity/Q499118,Bundesministerium der Finanzen,
9,Bundesministerium für Wirtschaft und Energie,http://example.org/digitalhaushalt/einzelplan/9,Q488589,http://www.wikidata.org/entity/Q488589,Bundesministerium für Wirtschaft und Energie,
10,"Bundesministerium für Landwirtschaft, Ernährung und Heimat",http://example.org/digitalhaushalt/einzelplan/10,Q699656,http://www.wikidata.org/entity/Q699656,"Bundesministerium für Landwirtschaft, Ernährung und Heimat",
11,Bundesministerium für Arbeit und Soziales,http://example.org/digitalhaushalt/einzelplan/11,Q491578,http://www.wikidata.org/entity/Q491578,Bundesministerium für Arbeit und Soziales,
12,Bundesministerium für Verkehr,http://example.org/digitalhaushalt/einzelplan/12,Q491637,http://www.wikidata.org/entity/Q491637,Bundesministerium für Verkehr,
14,Bundesministerium der Verteidigung,http://example.org/digitalhaushalt/einzelplan/14,Q493353,http://www.wikidata.org/entity/Q493353,Bundesministerium der Verteidigung,
15,Bundesministerium für Gesundheit,http://example.org/digitalhaushalt/einzelplan/15,Q491566,http://www.wikidata.org/entity/Q491566,Bundesministerium für Gesundheit,
16,"Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit",http://example.org/digitalhaushalt/einzelplan/16,Q493344,http://www.wikidata.org/entity/Q493344,"Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit",
17,"Bundesministerium für Bildung, Familie, Senioren, Frauen und Jugend",http://example.org/digitalhaushalt/einzelplan/17,Q166020,http://www.wikidata.org/entity/Q166020,"Bundesministerium für Bildung, Familie, Senioren, Frauen und Jugend",
19,Bundesverfassungsgericht,http://example.org/digitalhaushalt/einzelplan/19,Q56025,http://www.wikidata.org/entity/Q56025,Bundesverfassungsgericht,
20,Bundesrechnungshof,http://example.org/digitalhaushalt/einzelplan/20,Q56033,http://www.wikidata.org/entity/Q56033,Bundesrechnungshof,
21,Die Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,http://example.org/digitalhaushalt/einzelplan/21,Q1005821,http://www.wikidata.org/entity/Q1005821,Die Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,
22,Unabhängiger Kontrollrat,http://example.org/digitalhaushalt/einzelplan/22,Q106676433,http://www.wikidata.org/entity/Q106676433,Unabhängiger Kontrollrat,
23,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,http://example.org/digitalhaushalt/einzelplan/23,Q684357,http://www.wikidata.org/entity/Q684357,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,
24,Bundesministerium für Digitales und Staatsmodernisierung,http://example.org/digitalhaushalt/einzelplan/24,Q133894806,http://www.wikidata.org/entity/Q133894806,Bundesministerium für Digitales und Staatsmodernisierung,
25,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",http://example.org/digitalhaushalt/einzelplan/25,Q110021824,http://www.wikidata.org/entity/Q110021824,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",
30,"Bundesministerium für Forschung, Technologie und Raumfahrt",http://example.org/digitalhaushalt/einzelplan/30,Q492234,http://www.wikidata.org/entity/Q492234,"Bundesministerium für Forschung, Technologie und Raumfahrt",
32,Bundesschuld,http://example.org/digitalhaushalt/einzelplan/32,Q2325345,http://www.wikidata.org/entity/Q2325345,Staatsverschuldung Deutschlands,Kein eigenes Organ – thematische Zuordnung (Einzelplan = Bundesschuld).
60,Allgemeine Finanzverwaltung,http://example.org/digitalhaushalt/einzelplan/60,,,,Sammeltitel ohne eigenstaendige Institution – kein passendes Wikidata-Item.
