keyword,keyword_uri,wikidata_qid,wikidata_uri,wikidata_label,wikidata_description,match_type,search_lang
Zustandsdaten,http://example.org/digitalhaushalt/keyword/zustandsdaten,,,,,none,
Zukunftsvertrag Studium und Lehre,http://example.org/digitalhaushalt/keyword/zukunftsvertrag-studium-und-lehre,,,,,none,
HSP,http://example.org/digitalhaushalt/keyword/hsp,Q657516,http://www.wikidata.org/entity/Q657516,Troyer-Syndrom,genetically and clinically heterogeneous group of neurodegenerative disorders characterized by progressive spasticity and hyperreflexia of the lower limbs,exact,de
Hochschulpakt,http://example.org/digitalhaushalt/keyword/hochschulpakt,Q15446605,http://www.wikidata.org/entity/Q15446605,Hochschulpakt,,exact,de
Zukunftsstrategie,http://example.org/digitalhaushalt/keyword/zukunftsstrategie,,,,,none,
Zukunftsstadt,http://example.org/digitalhaushalt/keyword/zukunftsstadt,,,,,none,
Reallabor,http://example.org/digitalhaushalt/keyword/reallabor,Q3027857,http://www.wikidata.org/entity/Q3027857,Reallabor,Art von Ökosystem,exact,de
Zukunftsfonds,http://example.org/digitalhaushalt/keyword/zukunftsfonds,Q228721,http://www.wikidata.org/entity/Q228721,Zukunftsfonds der Republik Österreich,,fuzzy,de
Vernetzung,http://example.org/digitalhaushalt/keyword/vernetzung,Q253405,http://www.wikidata.org/entity/Q253405,Vernetzung,"verschiedene Eigenschaften, die in gewissem Sinne ""alles aus einem Stück"" bedeuten",exact,de
Datenorientiert,http://example.org/digitalhaushalt/keyword/datenorientiert,Q24882785,http://www.wikidata.org/entity/Q24882785,Datenorientiertes Design,Program optimization approach in computing,fuzzy,de
Industrie 4.0,http://example.org/digitalhaushalt/keyword/industrie-4-0,Q1661989,http://www.wikidata.org/entity/Q1661989,Industrie 4.0,umfassende Digitalisierung der industriellen Prozesse,exact,de
Digitalisiert,http://example.org/digitalhaushalt/keyword/digitalisiert,Q60474998,http://www.wikidata.org/entity/Q60474998,digitalisierte Sammlung,Sammlung digitalisierter Objekte,fuzzy,de
Schlüsseltechnologie,http://example.org/digitalhaushalt/keyword/schluesseltechnologie,Q21074109,http://www.wikidata.org/entity/Q21074109,Schlüsseltechnologie,Art von Technologie,exact,de
Technologische Souveränität,http://example.org/digitalhaushalt/keyword/technologische-souveraenitaet,Q17630369,http://www.wikidata.org/entity/Q17630369,Technologiesouveränität,Kompetenz,exact,de
